Title,Rating,Synopsis
ZeroZeroZero,8.0,"ZeroZeroZero series follows the journey of a cocaine shipment, from the moment a powerful cartel of Italian criminals decides to buy it until the cargo is delivered and paid for, passing through its packaging in Mexico and shipment across the Atlantic Ocean."
Words On Bathroom Walls,7.0,"Diagnosed with a mental illness, a witty, introspective teen falls in love with a brilliant classmate who inspires him to open his heart and not be defined by his condition."
Top Class,7.0,"Top Class: The Life and Times of the Sierra Canyon Trailblazers, developed in association with UNINTERRUPTED, offers a behind-the-scenes look at the most dynamic high school basketball team in history. Featuring the sons of NBA legends, several blue-chip prospects, and a formidable head coach, Top Class chronicles the trials and tribulations of one of the most talked about programs in prep sports."
Coming 2 America,5.0,"Akeem and Semmi are back! Set in the lush and royal country of Zamunda, newly-crowned King Akeem (Eddie Murphy) and his trusted confidante Semmi (Arsenio Hall) embark on an all-new hilarious adventure that has them traversing the globe from their great African nation to the borough of Queens, New York – where it all began."
Land (4K UHD),6.0,"After experiencing an unfathomable event, a bereaved woman (Robin Wright) retreats to the harsh American wilderness and must find a way to live again."
Coming 2 America,5.0,"Akeem and Semmi are back! Set in the lush and royal country of Zamunda, newly-crowned King Akeem (Eddie Murphy) and his trusted confidante Semmi (Arsenio Hall) embark on an all-new hilarious adventure that has them traversing the globe from their great African nation to the borough of Queens, New York – where it all began."
The Map of Tiny Perfect Things,6.0,"Quick-witted teen Mark (Kyle Allen) is contentedly living the same day in an endless loop when his world is turned upside-down by the mysterious Margaret (Kathryn Newton), also stuck in the same loop. What follows is a love story with a fantastical twist, as the two struggle to figure out how – and whether – to escape their never-ending day."
Coming to America (4K UHD),7.0,"Join EDDIE MURPHY on an unforgettable comic quest to the New World. As an African Prince, it’s time for him to find a princess. The mission leads him and his most loyal friend (ARSENIO HALL) to New York. Watch Murphy and Hall in classic cameo roles!"
Coming to America,7.0,"Join EDDIE MURPHY on an unforgettable comic quest to the New World. As an African Prince, it’s time for him to find a princess. The mission leads him and his most loyal friend (ARSENIO HALL) to New York. Watch Murphy and Hall in classic cameo roles!"
One Night in Miami...,7.0,"One Night in Miami is a fictional account of one incredible night where icons Muhammad Ali, Malcolm X, Sam Cooke, and Jim Brown gathered discussing their roles in the civil rights movement and cultural upheaval of the 60s."
